"","strain1","sig.at.both","not.sig.gxl","A/J","AKR/J","BALB/cByJ","BTBR T<+> Itpr3<tf>/J","C3H/HeJ","C57BL/6J","C57BLKS/J","CAST/EiJ","CBA/J","DBA/2J","DDY/JclSidSeyFrkJ","FVB/NJ","KK/HlJ","MA/MyJ","MOLF/EiJ","MRL/MpJ","MSM/MsJ","NOD/ShiLtJ","NON/ShiLtJ","NZL/LtJ","NZO/HlLtJ","NZW/LacJ","PWK/PhJ","SJL/J","SM/J","WSB/EiJ","BUB/BnJ","C57BL/10J","C57BR/cdJ","C57L/J","C58/J","CE/J","CZECHII/EiJ","I/LnJ","JF1/MsJ","LP/J","NZB/BlNJ","PERA/EiJ","PL/J","RIIIS/J","SEA/GnJ","SPRET/EiJ","SWR/J"
"38","CAST/EiJ","both = 0","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","CAST/EiJ","both = 1","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1",NA,NA,NA,NA,"not GxL = 0,both = 1",NA,NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1",NA,"not GxL = 0,both = 1",NA,NA,"not GxL = 0,both = 1",NA,NA,NA,NA,NA,"not GxL = 0,both = 1",NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1"
"40","CAST/EiJ","both = 2","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 2","not GxL = 0,both = 2",NA,"not GxL = 0,both = 2","not GxL = 0,both = 2","not GxL = 0,both = 2",NA,NA,"not GxL = 0,both = 2","not GxL = 0,both = 2","not GxL = 0,both = 2",NA,NA,"not GxL = 0,both = 2",NA,"not GxL = 0,both = 2","not GxL = 0,both = 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","CBA/J","both = 0","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 0",NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 0",NA,NA,NA,NA,"not GxL = 0,both = 0",NA,NA,NA,NA,NA,NA
"42","CBA/J","both = 0","not GxL = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 1,both = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","CBA/J","both = 1","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1",NA,NA,"not GxL = 0,both = 1",NA,"not GxL = 0,both = 1",NA,NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1",NA,NA,"not GxL = 0,both = 1",NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1",NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1"
"44","CBA/J","both = 2","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 2",NA,"not GxL = 0,both = 2",NA,"not GxL = 0,both = 2",NA,"not GxL = 0,both = 2",NA,NA,NA,"not GxL = 0,both = 2","not GxL = 0,both = 2",NA,"not GxL = 0,both = 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","DBA/2J","both = 0","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 0",NA,NA,"not GxL = 0,both = 0","not GxL = 0,both = 0",NA,NA,NA,NA,NA
"46","DBA/2J","both = 0","not GxL = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 1,both = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","DBA/2J","both = 1","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1",NA,NA,"not GxL = 0,both = 1",NA,"not GxL = 0,both = 1",NA,NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1",NA,NA,"not GxL = 0,both = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1",NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1"
"48","DBA/2J","both = 1","not GxL = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 1,both = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","DBA/2J","both = 2","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 2",NA,"not GxL = 0,both = 2",NA,"not GxL = 0,both = 2",NA,"not GxL = 0,both = 2",NA,NA,NA,"not GxL = 0,both = 2",NA,NA,"not GxL = 0,both = 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","DDY/JclSidSeyFrkJ","both = 0","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 0",NA,NA,"not GxL = 0,both = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","DDY/JclSidSeyFrkJ","both = 0","not GxL = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 1,both = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","DDY/JclSidSeyFrkJ","both = 1","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1",NA,"not GxL = 0,both = 1","not GxL = 0,both = 1",NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1",NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","FVB/NJ","both = 0","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 0",NA,NA,NA,"not GxL = 0,both = 0",NA,NA,NA,NA,NA
"54","FVB/NJ","both = 1","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1",NA,"not GxL = 0,both = 1",NA,NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1",NA,"not GxL = 0,both = 1","not GxL = 0,both = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1",NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1"
"55","FVB/NJ","both = 2","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 2",NA,"not GxL = 0,both = 2",NA,"not GxL = 0,both = 2",NA,"not GxL = 0,both = 2",NA,NA,NA,"not GxL = 0,both = 2",NA,NA,"not GxL = 0,both = 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","KK/HlJ","both = 1","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1",NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1"
"57","KK/HlJ","both = 2","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 2","not GxL = 0,both = 2",NA,"not GxL = 0,both = 2","not GxL = 0,both = 2",NA,NA,NA,NA,"not GxL = 0,both = 2","not GxL = 0,both = 2","not GxL = 0,both = 2","not GxL = 0,both = 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","MA/MyJ","both = 0","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 0",NA,NA,"not GxL = 0,both = 0",NA,"not GxL = 0,both = 0"
"59","MA/MyJ","both = 0","not GxL = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 1,both = 0",NA,NA,NA,NA
"60","MA/MyJ","both = 1","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1",NA,"not GxL = 0,both = 1",NA,"not GxL = 0,both = 1","not GxL = 0,both = 1",NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1",NA,NA,"not GxL = 0,both = 1",NA,"not GxL = 0,both = 1",NA
"61","MA/MyJ","both = 2","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 2",NA,"not GxL = 0,both = 2",NA,"not GxL = 0,both = 2",NA,NA,"not GxL = 0,both = 2","not GxL = 0,both = 2",NA,NA,"not GxL = 0,both = 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","MOLF/EiJ","both = 1","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1",NA,NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1",NA,NA,NA,NA,"not GxL = 0,both = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1"
"63","MOLF/EiJ","both = 2","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 2","not GxL = 0,both = 2","not GxL = 0,both = 2",NA,NA,"not GxL = 0,both = 2","not GxL = 0,both = 2","not GxL = 0,both = 2","not GxL = 0,both = 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","MRL/MpJ","both = 1","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","MSM/MsJ","both = 1","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1"
"66","MSM/MsJ","both = 2","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 2","not GxL = 0,both = 2",NA,NA,"not GxL = 0,both = 2","not GxL = 0,both = 2","not GxL = 0,both = 2","not GxL = 0,both = 2","not GxL = 0,both = 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","NOD/ShiLtJ","both = 0","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 0","not GxL = 0,both = 0",NA,NA,NA,NA,NA
"68","NOD/ShiLtJ","both = 1","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1",NA,NA,"not GxL = 0,both = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1"
"69","NOD/ShiLtJ","both = 1","not GxL = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 1,both = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","NOD/ShiLtJ","both = 2","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 2",NA,NA,NA,"not GxL = 0,both = 2",NA,NA,"not GxL = 0,both = 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","NON/ShiLtJ","both = 0","not GxL = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 1,both = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","NON/ShiLtJ","both = 1","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1"
"73","NON/ShiLtJ","both = 2","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 2","not GxL = 0,both = 2","not GxL = 0,both = 2","not GxL = 0,both = 2","not GxL = 0,both = 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","NZL/LtJ","both = 1","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","NZO/HlLtJ","both = 1","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","NZW/LacJ","both = 0","not GxL = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 1,both = 0",NA,NA,NA,NA,NA
"77","NZW/LacJ","both = 1","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1"
"78","NZW/LacJ","both = 2","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 2","not GxL = 0,both = 2","not GxL = 0,both = 2","not GxL = 0,both = 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","PWK/PhJ","both = 0","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 0",NA
"80","PWK/PhJ","both = 1","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1",NA,"not GxL = 0,both = 1"
"81","PWK/PhJ","both = 2","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 2","not GxL = 0,both = 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","SJL/J","both = 1","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1"
